matched_title,total_sentiment_score,Weekend_of,comment_count,post_count,Gross,TotalGross,%LW,post_density,comment_density,comment_post_ratio,total_posts,total_comments
Killers of the Flower Moon,263.01700000000005,2023-11-03,314.0,9,6872784,52205306,-0.26,0.25714285714285712,0.12842535787321063,34.888888888888886,35,2445.0
Priscilla,20.144000000000002,2023-11-03,1677.0,10,5040003,5265523,37.14,0.2857142857142857,0.68588957055214728,167.7,35,2445.0
Radical,23.689000000000004,2023-11-03,46.0,4,2658047,2658047,0.0,0.11428571428571428,0.018813905930470349,11.5,35,2445.0
Saw X,34.927,2023-11-03,0.0,1,1099664,52450833,-0.38,0.028571428571428571,0.0,0.0,35,2445.0
The Creator,107.97199999999998,2023-11-03,116.0,2,612842,40027083,-0.4,0.057142857142857141,0.047443762781186095,58.0,35,2445.0
The Holdovers,28.515000000000004,2023-11-03,224.0,5,568028,846195,1.69,0.14285714285714285,0.091615541922290392,44.8,35,2445.0
Anatomy of a Fall,66.606000000000023,2023-11-10,58.0,1,460097,2771834,-0.23,0.016949152542372881,0.0072527197699137173,58.0,59,7997.0
Divinity,9.621,2023-11-10,2.0,1,2412,98705,-0.95,0.016949152542372881,0.00025009378516943853,2.0,59,7997.0
Dream Scenario,14.004999999999999,2023-11-10,1059.0,21,220035,220035,0.0,0.3559322033898305,0.13242465924721772,50.428571428571431,59,7997.0
Killers of the Flower Moon,244.75700000000003,2023-11-10,136.0,3,4584043,59871427,-0.33,0.050847457627118647,0.017006377391521822,45.333333333333336,59,7997.0
Priscilla,360.97600000000011,2023-11-10,24.0,3,4601900,12538062,-0.09,0.050847457627118647,0.0030011254220332624,8.0,59,7997.0
TAYLOR SWIFT | THE ERAS TOUR,22.566,2023-11-10,0.0,2,6098625,173384817,-0.55,0.033898305084745763,0.0,0.0,59,7997.0
The Holdovers,46.703,2023-11-10,555.0,8,3221085,4295345,4.67,0.13559322033898305,0.0694010253845192,69.375,59,7997.0
The Marvels,112.032,2023-11-10,6103.0,17,46110859,46110859,0.0,0.288135593220339,0.7631611854445417,359.0,59,7997.0
Anatomy of a Fall,151.249,2023-11-17,187.0,1,175540,3194787,-0.62,0.012048192771084338,0.039694332413500316,187.0,83,4711.0
Dream Scenario,39.643999999999991,2023-11-17,22.0,3,256864,590412,0.17,0.03614457831325301,0.0046699214604118021,7.333333333333333,83,4711.0
Journey to Bethlehem,10.308,2023-11-17,6.0,1,1002401,4320612,-0.58,0.012048192771084338,0.0012736149437486733,6.0,83,4711.0
Killers of the Flower Moon,272.53500000000008,2023-11-17,97.0,2,1959074,63609106,-0.57,0.024096385542168676,0.020590108257270218,48.5,83,4711.0
Priscilla,30.609999999999996,2023-11-17,187.0,1,2326380,16982259,-0.49,0.012048192771084338,0.039694332413500316,187.0,83,4711.0
Saltburn,47.477000000000004,2023-11-17,638.0,23,322651,322651,0.0,0.27710843373493976,0.13542772235194225,27.739130434782609,83,4711.0
Thanksgiving,313.27800000000008,2023-11-17,1515.0,28,10306272,10306272,0.0,0.33734939759036142,0.32158777329654004,54.107142857142854,83,4711.0
The Holdovers,167.348,2023-11-17,187.0,2,2697290,8354770,-0.16,0.024096385542168676,0.039694332413500316,93.5,83,4711.0
Trolls Band Together,3.879,2023-11-17,65.0,7,30002525,31172525,0.0,0.084337349397590355,0.01379749522394396,9.2857142857142865,83,4711.0
Dream Scenario,21.083,2023-11-24,164.0,5,639521,1387818,1.49,0.031446540880503145,0.0080160320641282558,32.8,159,20459.0
Killers of the Flower Moon,306.59300000000007,2023-11-24,1379.0,3,1105099,65675456,-0.44,0.018867924528301886,0.067403098880688211,459.66666666666669,159,20459.0
Napoleon,829.68400000000031,2023-11-24,14630.0,110,20638887,32752716,0.0,0.69182389937106914,0.71508871401339269,133.0,159,20459.0
Radical,41.138000000000005,2023-11-24,4.0,1,755341,7817638,-0.21,0.0062893081761006293,0.0001955129771738599,4.0,159,20459.0
Saltburn,73.282000000000011,2023-11-24,677.0,4,1860648,3222673,4.77,0.025157232704402517,0.033090571386675788,169.25,159,20459.0
Thanksgiving,434.43299999999994,2023-11-24,1909.0,26,7070793,24000325,-0.31,0.16352201257861634,0.093308568356224642,73.42307692307692,159,20459.0
The Holdovers,158.35299999999998,2023-11-24,252.0,5,2798235,12931320,0.04,0.031446540880503145,0.012317317561953174,50.4,159,20459.0
The Marvels,127.07199999999999,2023-11-24,1432.0,2,6325243,76755559,-0.38,0.012578616352201259,0.069993645828241843,716.0,159,20459.0
Trolls Band Together,4.8469999999999995,2023-11-24,10.0,2,17809660,64763725,-0.41,0.012578616352201259,0.00048878244293464978,5.0,159,20459.0
Animal,142.18599999999998,2023-12-01,12684.0,83,6524573,6524573,0.0,0.54605263157894735,0.68417929769674735,152.81927710843374,152,18539.0
Dream Scenario,24.831,2023-12-01,418.0,5,1689446,3470330,1.64,0.032894736842105261,0.022547062948379094,83.6,152,18539.0
Five Nights at Freddy’s,4.107,2023-12-01,53.0,1,412490,136930060,-0.76,0.0065789473684210523,0.0028588381250337128,53.0,152,18539.0
Godzilla Minus One,124.13399999999996,2023-12-01,2934.0,14,11419975,11419975,0.0,0.092105263157894732,0.15826096337450779,209.57142857142858,152,18539.0
Napoleon,661.08200000000011,2023-12-01,782.0,14,7276612,45891855,-0.65,0.092105263157894732,0.042181347429742708,55.857142857142854,152,18539.0
Radical,22.201999999999998,2023-12-01,2.0,2,250926,8228285,-0.67,0.013157894736842105,0.00010788068396353632,1.0,152,18539.0
Saltburn,144.70199999999997,2023-12-01,45.0,3,1687567,6354453,-0.09,0.019736842105263157,0.0024273153891795672,15.0,152,18539.0
Thanksgiving,674.066,2023-12-01,690.0,8,2621721,28369354,-0.63,0.052631578947368418,0.037218835967420032,86.25,152,18539.0
The Holdovers,97.518999999999991,2023-12-01,301.0,6,1203350,15127635,-0.57,0.039473684210526314,0.016236042936512218,50.166666666666664,152,18539.0
The Marvels,123.619,2023-12-01,459.0,6,2526164,80752350,-0.6,0.039473684210526314,0.024758616969631587,76.5,152,18539.0
The Shift,22.759999999999998,2023-12-01,136.0,5,4300165,4300165,0.0,0.032894736842105261,0.0073358865095204707,27.2,152,18539.0
Animal,242.62000000000006,2023-12-08,438.0,4,2483326,11760703,-0.62,0.032786885245901641,0.047346232839693005,109.5,122,9251.0
Dream Scenario,81.136,2023-12-08,69.0,4,612143,4894432,-0.64,0.032786885245901641,0.0074586531185817746,17.25,122,9251.0
Godzilla Minus One,325.271,2023-12-08,782.0,10,8591413,25592747,-0.25,0.081967213114754092,0.084531402010593448,78.2,122,9251.0
Napoleon,276.51799999999986,2023-12-08,319.0,8,4116137,53010709,-0.43,0.065573770491803282,0.034482758620689655,39.875,122,9251.0
Poor Things,67.597000000000008,2023-12-08,1347.0,42,661230,661230,0.0,0.34426229508196721,0.14560588044535727,32.071428571428569,122,9251.0
Radical,25.449,2023-12-08,2248.0,1,119055,8439411,-0.53,0.00819672131147541,0.24300075667495405,2248.0,122,9251.0
Saltburn,47.250000000000007,2023-12-08,18.0,3,1085670,8638375,-0.36,0.024590163934426229,0.0019457355961517674,6.0,122,9251.0
Smoke Sauna Sisterhood,4.275,2023-12-08,1.0,1,607,8492,-0.53,0.00819672131147541,0.00010809642200843153,1.0,122,9251.0
Thanksgiving,141.703,2023-12-08,152.0,4,1201536,30473205,-0.54,0.032786885245901641,0.016430656145281591,38.0,122,9251.0
The Marvels,100.70599999999999,2023-12-08,16.0,1,1351690,82962128,-0.46,0.00819672131147541,0.0017295427521349044,16.0,122,9251.0
The Shift,25.339,2023-12-08,27.0,3,2120961,8463761,-0.51,0.024590163934426229,0.002918603394227651,9.0,122,9251.0
American Fiction,25.761,2023-12-15,584.0,13,224469,224469,0.0,0.11206896551724138,0.048678836375760606,44.92307692307692,116,11997.0
Animal,154.02199999999996,2023-12-15,17.0,3,873031,13641105,-0.65,0.025862068965517241,0.001417020921897141,5.666666666666667,116,11997.0
Poor Things,117.46400000000003,2023-12-15,127.0,4,1282208,2228972,0.94,0.034482758620689655,0.010585979828290406,31.75,116,11997.0
Saltburn,71.241,2023-12-15,159.0,6,702294,10164647,-0.35,0.051724137931034482,0.013253313328332083,26.5,116,11997.0
Thanksgiving,70.593,2023-12-15,66.0,4,507911,31429920,-0.58,0.034482758620689655,0.005501375343835959,16.5,116,11997.0
The Shift,14.654,2023-12-15,4.0,3,1052239,10681871,-0.5,0.025862068965517241,0.00033341668750520962,1.3333333333333333,116,11997.0
The Zone of Interest,18.274,2023-12-15,513.0,16,129934,129934,0.0,0.13793103448275862,0.042760690172543137,32.0625,116,11997.0
Wonka,193.217,2023-12-15,10527.0,66,39005800,39005800,0.0,0.56896551724137934,0.87746936734183545,159.5,116,11997.0
All of Us Strangers,19.97,2023-12-22,241.0,23,117965,117965,0.0,0.14375,0.015617911995334069,10.478260869565217,160,15431.0
American Fiction,58.46,2023-12-22,177.0,4,429182,750821,0.91,0.025,0.011470416693668588,44.25,160,15431.0
Animal,168.668,2023-12-22,396.0,4,267528,14411211,-0.69,0.025,0.02566262717905515,99.0,160,15431.0
Aquaman and the Lost Kingdom,7.352,2023-12-22,3654.0,16,27686211,27686211,0.0,0.1,0.23679605987946342,228.375,160,15431.0
Godzilla Minus One,313.1570000000001,2023-12-22,870.0,10,2644548,40262365,-0.48,0.0625,0.0563800142570151,87.0,160,15431.0
Migration,4.713,2023-12-22,296.0,20,12453275,12453275,0.0,0.125,0.01918216577020284,14.8,160,15431.0
Napoleon,189.89799999999997,2023-12-22,32.0,3,805583,59236344,-0.64,0.01875,0.0020737476508327392,10.666666666666666,160,15431.0
Poor Things,166.42899999999995,2023-12-22,1692.0,19,2118901,5059120,0.65,0.11875,0.10964940703778109,89.05263157894737,160,15431.0
Saltburn,134.44299999999998,2023-12-22,2868.0,5,165379,10970725,-0.76,0.03125,0.18585963320588425,573.6,160,15431.0
Thanksgiving,69.171,2023-12-22,135.0,5,59078,31755051,-0.88,0.03125,0.00874862290195062,27.0,160,15431.0
The Iron Claw,25.387999999999998,2023-12-22,3203.0,20,4868370,4868370,0.0,0.125,0.2075691789255395,160.15,160,15431.0
The Sweet East,4.079,2023-12-22,5.0,1,4618,82802,-0.51,0.00625,0.0003240230704426155,5.0,160,15431.0
The Zone of Interest,51.148,2023-12-22,131.0,4,82732,293033,-0.36,0.025,0.0084894044455965257,32.75,160,15431.0
Wonka,686.27199999999959,2023-12-22,490.0,7,18051678,75554395,-0.54,0.04375,0.031754260903376318,70.0,160,15431.0
All of Us Strangers,10.125,2023-12-29,88.0,3,113605,346514,-0.04,0.0196078431372549,0.0080321285140562242,29.333333333333332,153,10956.0
American Fiction,66.577,2023-12-29,105.0,4,410617,1655483,-0.04,0.026143790849673203,0.0095837897042716311,26.25,153,10956.0
Animal,220.35699999999997,2023-12-29,624.0,5,123058,14770658,-0.54,0.032679738562091505,0.056955093099671415,124.8,153,10956.0
Anyone But You,34.856,2023-12-29,339.0,2,8751971,24837385,0.46,0.013071895424836602,0.030941949616648413,169.5,153,10956.0
Aquaman and the Lost Kingdom,17.368,2023-12-29,18.0,2,18271620,76469713,-0.34,0.013071895424836602,0.0016429353778751369,9.0,153,10956.0
Ferrari,240.69400000000007,2023-12-29,5081.0,60,3921773,10778480,0.0,0.39215686274509803,0.46376414749908723,84.683333333333337,153,10956.0
Godzilla Minus One,303.14200000000011,2023-12-29,500.0,7,2279011,45580412,-0.14,0.0457516339869281,0.045637093829864916,71.428571428571431,153,10956.0
Migration,45.579000000000008,2023-12-29,0.0,1,17011310,54103955,0.37,0.0065359477124183009,0.0,0.0,153,10956.0
Napoleon,204.71800000000002,2023-12-29,727.0,5,528891,60534093,-0.34,0.032679738562091505,0.066356334428623584,145.4,153,10956.0
Poor Things,297.107,2023-12-29,774.0,9,2263852,10269036,0.07,0.058823529411764705,0.070646221248630889,86.0,153,10956.0
The Boys in the Boat,13.398,2023-12-29,251.0,8,8400548,21998472,0.0,0.052287581699346407,0.022909821102592189,31.375,153,10956.0
The Color Purple,48.549000000000007,2023-12-29,731.0,27,11737072,44047642,0.0,0.17647058823529413,0.0667214311792625,27.074074074074073,153,10956.0
The Iron Claw,119.80300000000001,2023-12-29,1169.0,4,4649775,15964922,-0.04,0.026143790849673203,0.10669952537422417,292.25,153,10956.0
The Zone of Interest,26.535,2023-12-29,13.0,2,86342,463787,0.04,0.013071895424836602,0.0011865644395764878,6.5,153,10956.0
Wonka,268.12699999999995,2023-12-29,402.0,7,22477006,133129902,0.25,0.0457516339869281,0.036692223439211392,57.428571428571431,153,10956.0
All of Us Strangers,29.007,2024-01-05,361.0,4,430344,871091,2.79,0.0425531914893617,0.020332300760349198,90.25,94,17755.0
American Fiction,43.372,2024-01-05,508.0,9,986643,2956650,1.4,0.095744680851063829,0.028611658687693609,56.444444444444443,94,17755.0
Animal,237.96600000000007,2024-01-05,469.0,6,67336,14934983,-0.45,0.063829787234042548,0.026415094339622643,78.166666666666671,94,17755.0
Anselm,2.943,2024-01-05,20.0,1,40250,223433,0.42,0.010638297872340425,0.0011264432554210081,20.0,94,17755.0
Anyone But You,23.797,2024-01-05,347.0,2,9751317,43964961,0.11,0.021276595744680851,0.019543790481554493,173.5,94,17755.0
Aquaman and the Lost Kingdom,11.84,2024-01-05,323.0,1,10600624,100011903,-0.42,0.010638297872340425,0.018192058575049283,323.0,94,17755.0
Ferrari,172.994,2024-01-05,550.0,9,2451857,15952316,-0.37,0.095744680851063829,0.030977189524077724,61.111111111111114,94,17755.0
Godzilla Minus One,293.23400000000004,2024-01-05,538.0,8,1742769,49183612,-0.24,0.0851063829787234,0.030301323570825121,67.25,94,17755.0
Migration,16.742,2024-01-05,323.0,1,9996880,77567015,-0.41,0.010638297872340425,0.018192058575049283,323.0,94,17755.0
Poor Things,308.24999999999994,2024-01-05,582.0,9,1971798,14199040,-0.13,0.095744680851063829,0.032779498732751336,64.666666666666671,94,17755.0
The Boys in the Boat,20.416999999999998,2024-01-05,323.0,1,5584210,33460829,-0.34,0.010638297872340425,0.018192058575049283,323.0,94,17755.0
The Color Purple,35.9,2024-01-05,93.0,5,4643901,54500334,-0.6,0.053191489361702128,0.0052379611377076883,18.6,94,17755.0
The Iron Claw,104.727,2024-01-05,1160.0,4,4521555,24878696,-0.03,0.0425531914893617,0.065333708814418467,290.0,94,17755.0
The Shift,25.886000000000003,2024-01-05,0.0,1,56090,12074178,-0.56,0.010638297872340425,0.0,0.0,94,17755.0
The Zone of Interest,58.323,2024-01-05,360.0,3,86298,635479,0.0,0.031914893617021274,0.020275978597578147,120.0,94,17755.0
Weak Layers,2.943,2024-01-05,20.0,1,40801,40801,0.0,0.010638297872340425,0.0011264432554210081,20.0,94,17755.0
Wonka,200.70899999999992,2024-01-05,10634.0,8,14077078,164301380,-0.37,0.0851063829787234,0.59892987890735,1329.25,94,17755.0
All of Us Strangers,28.286999999999995,2024-01-12,3.0,4,464300,1523978,0.08,0.026666666666666668,7.7667892093408585e-05,0.75,150,38626.0
American Fiction,49.440999999999988,2024-01-12,2.0,3,1904263,5219468,0.93,0.02,5.1778594728939054e-05,0.66666666666666663,150,38626.0
Anselm,2.856,2024-01-12,1.0,1,31650,281096,-0.21,0.0066666666666666671,2.5889297364469527e-05,1.0,150,38626.0
Anyone But You,9.043,2024-01-12,1.0,1,7124539,55363909,-0.27,0.0066666666666666671,2.5889297364469527e-05,1.0,150,38626.0
Aquaman and the Lost Kingdom,2.856,2024-01-12,1.0,1,5254970,108218317,-0.5,0.0066666666666666671,2.5889297364469527e-05,1.0,150,38626.0
Ferrari,151.27200000000005,2024-01-12,210.0,11,627479,17506584,-0.74,0.073333333333333334,0.0054367524465386008,19.09090909090909,150,38626.0
Migration,10.068,2024-01-12,1.0,2,6232325,85797960,-0.38,0.013333333333333334,2.5889297364469527e-05,0.5,150,38626.0
Poor Things,353.52099999999979,2024-01-12,5725.0,16,1789523,17312830,-0.09,0.10666666666666667,0.14821622741158805,357.8125,150,38626.0
The Book of Clarence,5.1370000000000005,2024-01-12,511.0,12,2557027,2557027,0.0,0.08,0.013229430953243929,42.583333333333336,150,38626.0
The Boys in the Boat,8.923,2024-01-12,1.0,1,3432749,39263852,-0.39,0.0066666666666666671,2.5889297364469527e-05,1.0,150,38626.0
The Color Purple,37.692,2024-01-12,26.0,3,1827617,57777463,-0.61,0.02,0.00067312173147620778,8.6666666666666661,150,38626.0
The Iron Claw,63.937000000000005,2024-01-12,1.0,1,2400878,29178125,-0.47,0.0066666666666666671,2.5889297364469527e-05,1.0,150,38626.0
The Zone of Interest,33.738,2024-01-12,1.0,2,238480,939866,1.76,0.013333333333333334,2.5889297364469527e-05,0.5,150,38626.0
Wonka,303.6219999999999,2024-01-12,375.0,8,8468025,176281880,-0.4,0.053333333333333337,0.0097084865116760736,46.875,150,38626.0
All of Us Strangers,22.688,2024-01-19,103.0,4,556219,2339691,0.2,0.11764705882352941,0.076523031203566128,25.75,34,1346.0
American Fiction,29.098,2024-01-19,0.0,2,1755364,7959023,-0.08,0.058823529411764705,0.0,0.0,34,1346.0
Ferrari,90.112999999999985,2024-01-19,11.0,1,276007,18100935,-0.56,0.029411764705882353,0.0081723625557206542,11.0,34,1346.0
The Book of Clarence,13.119,2024-01-19,1.0,2,1101433,4673982,-0.57,0.058823529411764705,0.0007429420505200594,0.5,34,1346.0
The Boys in the Boat,8.7510000000000012,2024-01-19,11.0,1,2536886,43864293,-0.26,0.029411764705882353,0.0081723625557206542,11.0,34,1346.0
The Color Purple,54.419,2024-01-19,0.0,2,738219,59300424,-0.6,0.058823529411764705,0.0,0.0,34,1346.0
The Iron Claw,36.559,2024-01-19,12.0,2,1546304,32012034,-0.36,0.058823529411764705,0.0089153046062407128,6.0,34,1346.0
The Zone of Interest,18.929000000000002,2024-01-19,389.0,7,448057,1557143,0.88,0.20588235294117646,0.28900445765230309,55.571428571428569,34,1346.0
All of Us Strangers,61.893999999999984,2024-01-26,109.0,4,422005,3053125,-0.24,0.125,0.15843023255813954,27.25,32,688.0
Aquaman and the Lost Kingdom,2.283,2024-01-26,11.0,1,2722885,118004919,-0.26,0.03125,0.015988372093023256,11.0,32,688.0
Ferrari,43.889,2024-01-26,8.0,2,122590,18358586,-0.56,0.0625,0.011627906976744186,4.0,32,688.0
Hundreds of Beavers,6.436,2024-01-26,25.0,3,4625,4625,0.0,0.09375,0.036337209302325583,8.3333333333333339,32,688.0
Migration,5.834,2024-01-26,7.0,1,4897555,101001215,-0.1,0.03125,0.010174418604651164,7.0,32,688.0
The Boys in the Boat,13.161999999999999,2024-01-26,17.0,1,1970291,47223499,-0.22,0.03125,0.024709302325581394,17.0,32,688.0
The Color Purple,66.307,2024-01-26,110.0,5,427654,60001545,-0.42,0.15625,0.15988372093023256,22.0,32,688.0
The Iron Claw,108.72400000000002,2024-01-26,108.0,1,974587,33686790,-0.37,0.03125,0.15697674418604651,108.0,32,688.0
Argylle,126.52500000000003,2024-02-02,4760.0,27,17473540,17473540,0.0,0.675,0.913452312416043,176.2962962962963,40,5211.0
Ferrari,81.423,2024-02-02,33.0,1,55188,18474845,-0.55,0.025,0.0063327576280944155,33.0,40,5211.0
Skin Deep,5.9879999999999995,2024-02-02,6.0,1,5268,5268,0.0,0.025,0.0011514104778353484,6.0,40,5211.0
The Color Purple,53.584,2024-02-02,23.0,2,200279,60353901,-0.53,0.05,0.004413740165035502,11.5,40,5211.0
Argylle,159.625,2024-02-09,85.0,3,6249360,28563505,-0.64,0.10714285714285714,0.035401915868388173,28.333333333333332,28,2401.0
Ennio,19.491,2024-02-09,1881.0,14,7591,7591,0.0,0.5,0.78342357351103709,134.35714285714286,28,2401.0
Hundreds of Beavers,3.289,2024-02-09,13.0,1,9035,40294,0.23,0.035714285714285712,0.005414410662224073,13.0,28,2401.0
Argylle,75.781,2024-02-16,101.0,4,4887335,36635815,-0.22,0.125,0.048604427333974978,25.25,32,2078.0
The Book of Clarence,5.912,2024-02-16,4.0,1,25368,6121536,-0.67,0.03125,0.0019249278152069298,4.0,32,2078.0
About Dry Grasses,2.231,2024-02-23,68.0,6,14651,14651,0.0,0.35294117647058826,0.062615101289134445,11.333333333333334,17,1086.0
Argylle,54.876,2024-02-23,416.0,2,2739300,41630885,-0.44,0.11764705882352941,0.3830570902394107,208.0,17,1086.0
Hundreds of Beavers,7.868,2024-02-23,0.0,1,10964,58174,2.8,0.058823529411764705,0.0,0.0,17,1086.0
Land of Bad,20.655,2024-02-23,559.0,1,982863,3595018,-0.47,0.058823529411764705,0.51473296500920807,559.0,17,1086.0
Ordinary Angels,3.374,2024-02-23,40.0,6,6163600,6163600,0.0,0.35294117647058826,0.036832412523020261,6.666666666666667,17,1086.0
Argylle,53.942,2024-03-01,2.0,1,1384565,43953370,-0.49,0.0625,0.00010468463752944256,2.0,16,19105.0
Cabrini,3.487,2024-03-08,11.0,2,7168520,7168520,0.0,0.020202020202020204,0.0008881711748082358,5.5,99,12385.0
Imaginary,42.44,2024-03-08,10509.0,59,9912713,9912713,0.0,0.59595959595959591,0.84852644327815907,178.11864406779662,99,12385.0
Imaginary,83.825,2024-03-15,518.0,3,5552010,19033678,-0.44,0.33333333333333331,0.29398410896708288,172.66666666666666,9,1762.0
Ordinary Angels,3.387,2024-03-15,1.0,1,942488,18015409,-0.53,0.1111111111111111,0.00056753688989784334,1.0,9,1762.0
Cabrini,21.442,2024-03-22,20.0,1,1426375,16160978,-0.49,0.14285714285714285,0.055710306406685235,20.0,7,359.0
Imaginary,51.059000000000005,2024-03-22,1.0,1,2781299,23606097,-0.5,0.14285714285714285,0.0027855153203342618,1.0,7,359.0
Cabrini,13.086,2024-03-29,40.0,1,1005549,18109937,-0.3,0.2,0.43478260869565216,40.0,5,92.0
Imaginary,214.848,2024-04-05,13.0,3,539220,27423628,-0.61,0.42857142857142855,0.35135135135135137,4.333333333333333,7,37.0
Imaginary,55.857000000000006,2024-04-12,12.0,2,232548,27804300,-0.57,1.0,1.0,6.0,2,12.0